year,country,average_sales
2019,Argentina,4017.4800897363993270
2019,Australia,4066.6756302521008403
2019,Austria,4078.1242339832869081
2019,Azerbaijan,3967.4281721632196758
2019,Belgium,3978.3740886146943354
2019,Brazil,4025.0299773755656109
2019,Bulgaria,4087.7093348239239799
2019,Canada,4005.7476217123670957
2019,Cyprus,4045.9190848214285714
2019,Czech Republic,3979.2431218416619876
2019,Denmark,3909.9190556492411467
2019,Egypt,4014.1657334826427772
2019,Estonia,4021.1246506428172163
2019,Finland,3957.6364145658263305
2019,France,3960.3111359820928931
2019,Germany,3946.5939597315436242
2019,Greece,4045.2138047138047138
2019,Hungary,3882.6668536174985979
2019,India,4050.6286516853932584
2019,Indonesia,4062.4769572459744586
2019,Ireland,3868.7674157303370787
2019,Israel,4019.2947782144862437
2019,Italy,4086.3035215204024595
2019,Japan,3991.0339454646633278
2019,Jordan,3967.7225661226786719
2019,Malaysia,4053.2417088251826869
2019,Mexico,4022.0276056338028169
2019,Netherlands,3928.5738255033557047
2019,New Zealand,4018.1849547511312217
2019,Norway,4045.9837625979843225
2019,Oman,3944.8878873239436620
2019,Peru,4008.7938547486033520
2019,Philippines,4009.1907158836689038
2019,Poland,4039.2245357343837929
2019,Portugal,4053.7745208568207441
2019,Qatar,3982.8494983277591973
2019,Russia,4030.8080581980973699
2019,Saudi Arabia,4049.7827547592385218
2019,Singapore,4020.9749163879598662
2019,South Africa,4011.3350111856823266
2019,South Korea,4043.0325659741718136
2019,Spain,4035.9971878515185602
2019,Sudan,3938.5659217877094972
2019,Sweden,3894.7031861375069871
2019,Switzerland,4039.6282194848824188
2019,Taiwan,3962.5942760942760943
2019,Tajikistan,3986.6360067302299495
2019,Thailand,4080.0563930764935790
2019,Turkey,3972.5070185289163391
2019,Ukraine,3971.6780133928571429
2019,United Arab Emirates,4068.3939393939393939
2019,United Kingdom,3919.4203142536475870
2019,United States,3936.8794167134043746
2019,Uruguay,3872.9960762331838565
2019,Uzbekistan,4056.7540707467714767
2019,Vietnam,3946.7932960893854749
2019,,3999.6901741044626776
2020,Argentina,4114.3486805165637282
2020,Australia,3899.3617021276595745
2020,Austria,3943.7624093697713330
