country,total_sales
Thailand,21848776
Poland,21845131
Italy,21844913
Japan,21765341
Argentina,21755581
Russia,21738876
Peru,21704462
Philippines,21651762
South Korea,21598368
Israel,21581548
Canada,21575438
Portugal,21554611
Norway,21544439
Singapore,21534966
Switzerland,21526097
Australia,21522004
Tajikistan,21517513
Cyprus,21500526
Indonesia,21498960
Belgium,21498249
Estonia,21493054
Ukraine,21474740
Qatar,21473762
Spain,21465342
Mexico,21455404
Malaysia,21452597
United Arab Emirates,21444221
Oman,21433121
Jordan,21429604
Uzbekistan,21416080
Sudan,21415934
United Kingdom,21415113
Greece,21412393
Bulgaria,21410716
South Africa,21394755
Netherlands,21383019
Egypt,21379967
Austria,21365726
Brazil,21350771
France,21341055
Hungary,21338015
Finland,21336188
Czech Republic,21334142
Denmark,21331097
India,21330883
New Zealand,21329461
Saudi Arabia,21326437
Azerbaijan,21325766
Uruguay,21321382
Germany,21301931
Vietnam,21280572
Turkey,21270737
Ireland,21095982
Taiwan,21060208
United States,21007997
Sweden,21000525
